deg_label,degraded_detections,restored_detections,degraded_confidence,restored_confidence,degraded_texts,restored_texts
dark_severe,4,2,3.618689096708067,0.2822130489159125,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SENIMWIIC MNARE', '[DHF [LFFARNNNG']"
dark_heavy,4,4,3.6396081759285774,3.985485857871602,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
dark_moderate,4,4,3.7090388202713154,3.7090388202713154,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
dark_mild,4,4,3.966579133589338,3.966579133589338,"['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']","['SEMANTIC', 'AWARE', 'DEEP', 'LEARNING']"
mblur_severe_h,0,0,0,0,[],[]
mblur_moderate_h,1,1,0.2651151625159616,0.2651151625159616,['ZWNN='],['ZWNN=']
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,3,3,1.5071025573486891,1.5071025573486891,"['SMANIIC AwaE', 'D', 'LAVNG']","['SMANIIC AwaE', 'D', 'LAVNG']"
gblur_heavy,1,0,0.28827691909605596,0,['SemaNTIC AWARE'],[]
gblur_mild,3,0,2.694438202518835,0,"['SEMANTIC AWARE', 'DEEP', 'LEARNING']",[]
combined_dark_blur,0,3,0,0.532895858581098,[],"['SIMANTIC AWARE', '-=', 'ZS= -']"
combined_moderate,1,0,0.19139131684216146,0,['SENANTCAWANS'],[]
dark_severe,4,4,3.3484472534739425,3.5723432155806725,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
dark_heavy,4,4,3.7723037761521705,3.7048989499559597,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
dark_moderate,4,4,3.9476570519081746,3.9476570519081746,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
dark_mild,4,4,3.7916733105898217,3.7916733105898217,"['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']","['GEOFENCE', 'DEEP', 'LEARNING', 'INVERSE KINEMATICS']"
mblur_severe_h,0,0,0,0,[],[]
mblur_moderate_h,0,0,0,0,[],[]
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,2,2,0.7744766613890934,0.7744766613890934,"[""(MOWMNc'M"", 'DiP IARNING']","[""(MOWMNc'M"", 'DiP IARNING']"
gblur_heavy,1,0,0.2789612234850712,0,['deep LeaRNING'],[]
gblur_mild,4,0,3.4261876334434596,0,"['GEOFENCE', 'DEEP', 'LEARNING', '[NVERSE KINEMATICS']",[]
combined_dark_blur,2,1,0.3542269494192759,0.32994819264144065,"['4 _ ` _ -', ' _ -']",['DEE? LEARNING']
combined_moderate,0,0,0,0,[],[]
dark_severe,4,2,3.640943927205809,0.4803715467696255,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['WEAREUHR', 'BOBOTT MRHL']"
dark_heavy,4,4,3.9676950318008144,3.9856293079524217,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']"
dark_moderate,4,4,3.966104599130603,3.966104599130603,"['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']","['GEOFENCE', 'WIENER FILTER', 'ROBOT', 'ARM']"
